country_noc,city
GRE,Athina
FRA,Paris
USA,St. Louis
GBR,London
SWE,Stockholm
GER,Berlin
BEL,Antwerpen
FRA,Paris
NED,Amsterdam
USA,Los Angeles
GER,Berlin
FIN,Helsinki
GBR,London
GBR,London
FIN,Helsinki
AUS,Melbourne
ITA,Roma
JPN,Tokyo
MEX,Ciudad de México
FRG,München
CAN,Montréal
URS,Moskva
USA,Los Angeles
KOR,Seoul
ESP,Barcelona
USA,Atlanta
AUS,Sydney
GRE,Athina
CHN,Beijing
GBR,London
BRA,Rio de Janeiro
JPN,Tokyo
FRA,Paris
USA,Los Angeles
AUS,Brisbane
FRA,Chamonix
SUI,Sankt Moritz
USA,Lake Placid
GER,Garmisch-Partenkirchen
GER,Garmisch-Partenkirchen
ITA,Cortina d'Ampezzo
SUI,Sankt Moritz
NOR,Oslo
ITA,Cortina d'Ampezzo
USA,Squaw Valley
AUT,Innsbruck
FRA,Grenoble
JPN,Sapporo
AUT,Innsbruck
USA,Lake Placid
YUG,Sarajevo
CAN,Calgary
FRA,Albertville
NOR,Lillehammer
JPN,Nagano
USA,Salt Lake City
ITA,Torino
CAN,Vancouver
RUS,Sochi
KOR,PyeongChang
CHN,Beijing
ITA,Milano-Cortina d'Ampezzo
SWE,Stockholm
GRE,Athina
