country_noc,edition_id
USA,1
GRE,1
GER,1
FRA,1
GBR,1
HUN,1
AUT,1
AUS,1
DEN,1
SUI,1
MIX,1
FRA,2
USA,2
GBR,2
BEL,2
SUI,2
GER,2
ITA,2
DEN,2
MIX,2
NED,2
HUN,2
CUB,2
ESP,2
AUT,2
NOR,2
IND,2
BOH,2
AUS,2
SWE,2
USA,3
GER,3
CAN,3
CUB,3
HUN,3
GBR,3
GRE,3
MIX,3
GBR,5
USA,5
SWE,5
FRA,5
GER,5
HUN,5
CAN,5
NOR,5
ITA,5
BEL,5
ANZ,5
RUS,5
FIN,5
RSA,5
GRE,5
DEN,5
BOH,5
NED,5
AUT,5
USA,6
SWE,6
GBR,6
FIN,6
FRA,6
GER,6
ITA,6
RSA,6
NOR,6
CAN,6
HUN,6
ANZ,6
BEL,6
DEN,6
GRE,6
SUI,6
RUS,6
AUT,6
NED,6
USA,7
SWE,7
BEL,7
FIN,7
GBR,7
ITA,7
NOR,7
FRA,7
NED,7
DEN,7
RSA,7
CAN,7
SUI,7
EST,7
BRA,7
AUS,7
JPN,7
ESP,7
GRE,7
LUX,7
TCH,7
NZL,7
USA,8
FRA,8
FIN,8
GBR,8
ITA,8
SUI,8
NOR,8
SWE,8
NED,8
BEL,8
AUS,8
DEN,8
HUN,8
YUG,8
TCH,8
ARG,8
EST,8
RSA,8
LUX,8
GRE,8
URU,8
AUT,8
CAN,8
IRL,8
POL,8
HAI,8
JPN,8
MON,8
NZL,8
POR,8
ROU,8
USA,9
GER,9
NED,9
FIN,9
FRA,9
SWE,9
ITA,9
SUI,9
HUN,9
GBR,9
CAN,9
ARG,9
DEN,9
AUT,9
TCH,9
JPN,9
POL,9
EST,9
EGY,9
AUS,9
NOR,9
YUG,9
RSA,9
IND,9
IRL,9
LUX,9
NZL,9
ESP,9
URU,9
BEL,9
CHI,9
HAI,9
PHI,9
POR,9
USA,10
ITA,10
FRA,10
SWE,10
JPN,10
HUN,10
GER,10
FIN,10
GBR,10
POL,10
AUS,10
ARG,10
CAN,10
NED,10
RSA,10
IRL,10
TCH,10
AUT,10
IND,10
DEN,10
MEX,10
LAT,10
NZL,10
SUI,10
PHI,10
BEL,10
ESP,10
URU,10
GER,11
USA,11
HUN,11
ITA,11
FIN,11
FRA,11
SWE,11
JPN,11
NED,11
AUT,11
SUI,11
GBR,11
TCH,11
ARG,11
EST,11
EGY,11
CAN,11
NOR,11
TUR,11
IND,11
NZL,11
POL,11
DEN,11
LAT,11
ROU,11
RSA,11
YUG,11
BEL,11
MEX,11
AUS,11
PHI,11
POR,11
USA,12
SWE,12
FRA,12
FIN,12
HUN,12
ITA,12
TUR,12
TCH,12
SUI,12
DEN,12
NED,12
GBR,12
ARG,12
AUS,12
AUT,12
BEL,12
RSA,12
EGY,12
MEX,12
NOR,12
JAM,12
POL,12
IND,12
PER,12
CAN,12
YUG,12
POR,12
URU,12
CUB,12
ESP,12
SRI,12
TTO,12
PAN,12
KOR,12
BRA,12
IRL,12
IRI,12
PUR,12
USA,13
URS,13
HUN,13
SWE,13
ITA,13
TCH,13
FRA,13
FIN,13
AUS,13
NOR,13
SUI,13
RSA,13
JAM,13
BEL,13
DEN,13
TUR,13
JPN,13
GBR,13
ARG,13
POL,13
CAN,13
YUG,13
ROU,13
BRA,13
NZL,13
IND,13
LUX,13
GER,13
NED,13
IRI,13
CHI,13
AUT,13
LBN,13
IRL,13
MEX,13
ESP,13
KOR,13
TTO,13
URU,13
BUL,13
EGY,13
POR,13
VEN,13
URS,14
USA,14
AUS,14
HUN,14
ITA,14
GBR,14
SWE,14
ROU,14
GER,14
JPN,14
FRA,14
TUR,14
FIN,14
IRI,14
CAN,14
NZL,14
POL,14
TCH,14
BUL,14
IRL,14
DEN,14
NOR,14
MEX,14
BRA,14
IND,14
YUG,14
CHI,14
BEL,14
ARG,14
KOR,14
ISL,14
PAK,14
RSA,14
AUT,14
GRE,14
BAH,14
URU,14
URS,15
USA,15
ITA,15
GER,15
AUS,15
TUR,15
HUN,15
JPN,15
POL,15
TCH,15
ROU,15
GBR,15
DEN,15
NZL,15
BUL,15
SWE,15
FIN,15
AUT,15
YUG,15
PAK,15
ETH,15
GRE,15
NOR,15
SUI,15
FRA,15
BEL,15
IRI,15
NED,15
RSA,15
ARG,15
UAR,15
CAN,15
TPE,15
GHA,15
IND,15
MAR,15
POR,15
SGP,15
BRA,15
WIF,15
IRQ,15
MEX,15
ESP,15
VEN,15
USA,16
URS,16
JPN,16
GER,16
ITA,16
HUN,16
POL,16
AUS,16
TCH,16
GBR,16
BUL,16
FIN,16
NZL,16
ROU,16
NED,16
TUR,16
SWE,16
DEN,16
YUG,16
BEL,16
FRA,16
CAN,16
SUI,16
ETH,16
IND,16
BAH,16
KOR,16
TTO,16
TUN,16
ARG,16
CUB,16
PAK,16
PHI,16
IRI,16
BRA,16
GHA,16
IRL,16
KEN,16
MEX,16
NGR,16
URU,16
USA,17
URS,17
JPN,17
HUN,17
GDR,17
FRA,17
TCH,17
FRG,17
AUS,17
GBR,17
POL,17
ROU,17
ITA,17
KEN,17
MEX,17
YUG,17
NED,17
BUL,17
IRI,17
SWE,17
TUR,17
DEN,17
CAN,17
FIN,17
ETH,17
NOR,17
NZL,17
TUN,17
PAK,17
VEN,17
CUB,17
AUT,17
SUI,17
MGL,17
BRA,17
BEL,17
KOR,17
UGA,17
CMR,17
JAM,17
ARG,17
TPE,17
GRE,17
IND,17
URS,18
USA,18
GDR,18
FRG,18
JPN,18
AUS,18
POL,18
HUN,18
BUL,18
ITA,18
SWE,18
GBR,18
ROU,18
CUB,18
FIN,18
NED,18
FRA,18
TCH,18
KEN,18
YUG,18
NOR,18
PRK,18
NZL,18
UGA,18
DEN,18
SUI,18
CAN,18
IRI,18
BEL,18
GRE,18
AUT,18
COL,18
ARG,18
LBN,18
MEX,18
MGL,18
PAK,18
KOR,18
TUN,18
TUR,18
BRA,18
ETH,18
GHA,18
IND,18
JAM,18
NIG,18
NGR,18
ESP,18
URS,19
GDR,19
USA,19
FRG,19
JPN,19
POL,19
BUL,19
CUB,19
ROU,19
HUN,19
FIN,19
SWE,19
GBR,19
ITA,19
FRA,19
YUG,19
TCH,19
NZL,19
KOR,19
SUI,19
PRK,19
JAM,19
NOR,19
DEN,19
MEX,19
TTO,19
CAN,19
BEL,19
NED,19
POR,19
ESP,19
AUS,19
IRI,19
MGL,19
VEN,19
BRA,19
AUT,19
BER,19
PAK,19
PUR,19
THA,19
URS,20
GDR,20
BUL,20
CUB,20
ITA,20
HUN,20
ROU,20
FRA,20
GBR,20
POL,20
SWE,20
FIN,20
TCH,20
YUG,20
AUS,20
DEN,20
BRA,20
ETH,20
SUI,20
ESP,20
AUT,20
GRE,20
BEL,20
IND,20
ZIM,20
PRK,20
MGL,20
TAN,20
MEX,20
NED,20
IRL,20
UGA,20
VEN,20
JAM,20
GUY,20
LBN,20
USA,21
ROU,21
FRG,21
CHN,21
ITA,21
CAN,21
JPN,21
NZL,21
YUG,21
KOR,21
GBR,21
FRA,21
NED,21
AUS,21
FIN,21
SWE,21
MEX,21
MAR,21
BRA,21
ESP,21
BEL,21
AUT,21
KEN,21
POR,21
PAK,21
SUI,21
DEN,21
JAM,21
NOR,21
GRE,21
NGR,21
PUR,21
COL,21
CIV,21
EGY,21
IRL,21
PER,21
SYR,21
THA,21
TUR,21
VEN,21
ALG,21
CMR,21
TPE,21
DOM,21
ISL,21
ZAM,21
URS,22
GDR,22
USA,22
KOR,22
FRG,22
HUN,22
BUL,22
ROU,22
FRA,22
ITA,22
CHN,22
GBR,22
KEN,22
JPN,22
AUS,22
YUG,22
TCH,22
NZL,22
CAN,22
POL,22
NOR,22
NED,22
DEN,22
BRA,22
FIN,22
ESP,22
TUR,22
MAR,22
AUT,22
POR,22
SUR,22
SWE,22
SUI,22
JAM,22
ARG,22
CHI,22
CRC,22
INA,22
IRI,22
AHO,22
PER,22
SEN,22
ISV,22
BEL,22
MEX,22
COL,22
DJI,22
GRE,22
MGL,22
PAK,22
PHI,22
THA,22
EUN,23
USA,23
GER,23
CHN,23
CUB,23
ESP,23
KOR,23
HUN,23
FRA,23
AUS,23
CAN,23
ITA,23
GBR,23
ROU,23
TCH,23
PRK,23
JPN,23
BUL,23
POL,23
NED,23
KEN,23
NOR,23
TUR,23
INA,23
BRA,23
GRE,23
SWE,23
NZL,23
FIN,23
DEN,23
MAR,23
IRL,23
ETH,23
ALG,23
EST,23
LTU,23
SUI,23
JAM,23
NGR,23
LAT,23
AUT,23
NAM,23
RSA,23
BEL,23
CRO,23
IOA,23
IRI,23
ISR,23
TPE,23
MEX,23
PER,23
MGL,23
SLO,23
ARG,23
COL,23
GHA,23
MAS,23
PAK,23
PHI,23
PUR,23
QAT,23
SUR,23
THA,23
BAH,23
USA,24
RUS,24
GER,24
CHN,24
FRA,24
ITA,24
AUS,24
CUB,24
UKR,24
KOR,24
POL,24
HUN,24
ESP,24
ROU,24
NED,24
GRE,24
CZE,24
SUI,24
DEN,24
TUR,24
CAN,24
BUL,24
JPN,24
KAZ,24
BRA,24
NZL,24
RSA,24
IRL,24
SWE,24
NOR,24
BEL,24
NGR,24
PRK,24
ALG,24
ETH,24
GBR,24
BLR,24
KEN,24
JAM,24
FIN,24
INA,24
SCG,24
IRI,24
SVK,24
ARM,24
CRO,24
POR,24
THA,24
BDI,24
CRC,24
ECU,24
HKG,24
SYR,24
ARG,24
NAM,24
SLO,24
AUT,24
MAS,24
MDA,24
UZB,24
AZE,24
TPE,24
LAT,24
PHI,24
BAH,24
TGA,24
ZAM,24
GEO,24
MAR,24
TTO,24
IND,24
ISR,24
LTU,24
MEX,24
MGL,24
MOZ,24
PUR,24
TUN,24
UGA,24
USA,25
RUS,25
CHN,25
AUS,25
GER,25
FRA,25
ITA,25
NED,25
CUB,25
GBR,25
ROU,25
KOR,25
HUN,25
POL,25
JPN,25
BUL,25
GRE,25
SWE,25
NOR,25
ETH,25
UKR,25
KAZ,25
BLR,25
CAN,25
ESP,25
TUR,25
IRI,25
CZE,25
KEN,25
DEN,25
FIN,25
AUT,25
LTU,25
AZE,25
BAH,25
SLO,25
SUI,25
INA,25
SVK,25
MEX,25
NGR,25
ALG,25
UZB,25
LAT,25
SCG,25
NZL,25
EST,25
THA,25
CRO,25
CMR,25
COL,25
MOZ,25
BRA,25
JAM,25
BEL,25
RSA,25
ARG,25
TPE,25
MAR,25
PRK,25
KSA,25
MDA,25
TTO,25
IRL,25
SRI,25
URU,25
VIE,25
GEO,25
CRC,25
POR,25
ARM,25
BAR,25
CHI,25
ISL,25
IND,25
ISR,25
KUW,25
KGZ,25
MKD,25
QAT,25
USA,26
CHN,26
RUS,26
AUS,26
JPN,26
GER,26
FRA,26
ITA,26
KOR,26
GBR,26
CUB,26
HUN,26
UKR,26
ROU,26
GRE,26
BRA,26
NOR,26
NED,26
SWE,26
ESP,26
CAN,26
TUR,26
POL,26
NZL,26
THA,26
BLR,26
AUT,26
ETH,26
IRI,26
SVK,26
TPE,26
GEO,26
BUL,26
DEN,26
JAM,26
UZB,26
MAR,26
ARG,26
CHI,26
KAZ,26
KEN,26
CZE,26
RSA,26
CRO,26
LTU,26
EGY,26
SUI,26
INA,26
ZIM,26
AZE,26
BEL,26
ISR,26
BAH,26
CMR,26
DOM,26
UAE,26
PRK,26
LAT,26
MEX,26
POR,26
FIN,26
